user_id,item_id,event_type,created_at,destination_category,destination_popularity,cultural_score,adventure_score,relaxation_score,category_diversity,trust_score,user_total_feedback_count,is_strong_engagement,has_positive_feedback,label
user_49,dest_22,save_trip,2026-03-08T07:19:18.663Z,relaxation,0.929,0.355,0.754,0.370,0.507,0.395,20,1,1,1
user_147,dest_94,view,2026-03-27T03:39:45.014Z,mixed,0.118,0.751,0.245,0.645,0.934,0.850,49,0,0,0
user_150,dest_39,book,2026-02-26T10:18:56.438Z,mixed,0.901,0.556,0.980,0.374,0.838,0.411,25,1,1,1
user_6,dest_61,view,2026-03-13T14:55:36.496Z,relaxation,0.454,0.523,0.590,0.730,0.029,0.368,39,0,1,1
user_35,dest_24,book,2026-03-15T10:05:21.994Z,mixed,0.758,0.535,0.837,0.330,0.560,0.492,39,1,0,1
user_37,dest_79,save_trip,2026-03-06T20:21:36.848Z,mixed,0.516,0.781,0.466,0.558,0.232,0.646,16,1,1,1
user_102,dest_11,view,2026-02-28T11:24:20.612Z,cultural,0.664,0.881,0.579,0.513,0.432,0.730,2,0,1,1
user_183,dest_29,view,2026-03-22T10:44:38.808Z,cultural,0.232,0.422,0.699,0.262,0.585,0.368,6,0,0,0
user_199,dest_41,trip_click,2026-03-01T07:29:35.394Z,relaxation,0.335,0.383,0.219,0.721,0.764,0.457,4,1,1,1
user_80,dest_54,trip_click,2026-03-22T16:01:39.177Z,mixed,0.492,0.694,0.719,0.360,0.712,0.865,38,1,1,1
user_57,dest_11,view,2026-03-27T02:33:59.657Z,cultural,0.664,0.617,0.371,0.380,0.625,0.373,29,0,0,0
user_9,dest_34,save,2026-03-01T19:50:15.661Z,adventure,0.202,0.529,0.869,0.606,0.697,0.783,40,1,1,1
user_179,dest_93,view,2026-03-11T14:35:38.863Z,relaxation,0.842,0.740,0.612,0.452,0.359,0.496,32,0,0,0
user_28,dest_37,trip_click,2026-03-15T01:08:15.036Z,mixed,0.102,0.383,0.742,0.548,0.131,0.797,8,1,0,1
user_82,dest_8,trip_click,2026-03-26T12:54:28.107Z,cultural,0.494,0.382,0.741,0.593,0.278,0.637,43,1,0,1
user_66,dest_56,view,2026-03-20T19:09:02.944Z,mixed,0.175,0.277,0.289,0.842,0.180,0.314,21,0,0,0
user_66,dest_93,trip_click,2026-02-27T22:49:28.892Z,relaxation,0.842,0.277,0.289,0.842,0.180,0.314,21,1,0,1
user_156,dest_63,view,2026-02-25T21:53:10.388Z,mixed,0.638,0.659,0.811,0.573,0.496,0.610,5,0,1,1
user_189,dest_34,book,2026-03-13T22:51:44.196Z,adventure,0.202,0.913,0.219,0.628,0.443,0.705,29,1,0,1
user_33,dest_56,view,2026-03-07T04:24:52.101Z,mixed,0.175,0.521,0.482,0.886,0.547,0.626,19,0,1,1
user_29,dest_20,save,2026-03-20T16:53:20.442Z,adventure,0.109,0.839,0.309,0.467,0.830,0.728,17,1,0,1
user_50,dest_32,book,2026-03-16T04:17:29.561Z,cultural,0.037,0.652,0.719,0.722,0.908,0.816,17,1,1,1
user_52,dest_48,view,2026-03-06T05:06:25.439Z,cultural,0.773,0.340,0.676,0.518,0.798,0.571,48,0,0,0
user_44,dest_71,book,2026-03-08T08:59:37.288Z,relaxation,0.681,0.574,0.330,0.903,0.354,0.649,10,1,1,1
user_190,dest_48,view,2026-03-01T06:03:35.453Z,cultural,0.773,0.698,0.271,0.865,0.558,0.823,44,0,0,0
user_73,dest_37,book,2026-03-14T15:35:14.714Z,mixed,0.102,0.816,0.692,0.230,0.512,0.846,34,1,1,1
user_118,dest_20,save_trip,2026-03-17T22:11:08.158Z,adventure,0.109,0.339,0.679,0.671,0.100,0.558,37,1,1,1
user_114,dest_87,view,2026-03-12T05:23:57.868Z,adventure,0.809,0.615,0.629,0.217,0.529,0.589,8,0,1,1
user_108,dest_84,save_trip,2026-03-10T22:06:24.798Z,cultural,0.802,0.307,0.864,0.623,0.343,0.548,39,1,1,1
user_104,dest_16,trip_click,2026-03-22T10:56:05.968Z,relaxation,0.677,0.366,0.676,0.670,0.727,0.517,35,1,1,1
user_191,dest_49,trip_click,2026-03-26T18:58:16.887Z,adventure,0.998,0.206,0.413,0.702,0.693,0.744,28,1,0,1
user_3,dest_57,save,2026-03-08T04:39:44.473Z,mixed,0.833,0.229,0.708,0.678,0.850,0.538,48,1,0,1
user_198,dest_47,view,2026-03-25T19:30:35.809Z,cultural,0.680,0.971,0.349,0.324,0.621,0.775,2,0,1,1
user_23,dest_4,view,2026-03-15T15:17:36.839Z,adventure,0.523,0.339,0.770,0.623,0.550,0.550,13,0,1,1
user_39,dest_66,view,2026-03-07T17:15:41.133Z,adventure,0.876,0.819,0.707,0.487,0.641,0.839,24,0,1,1
user_96,dest_35,view,2026-03-12T01:09:27.482Z,adventure,0.173,0.470,0.563,0.783,0.273,0.599,33,0,1,1
user_136,dest_32,book,2026-03-16T12:03:32.249Z,cultural,0.037,0.441,0.272,0.706,0.312,0.570,50,1,1,1
user_162,dest_15,trip_click,2026-03-05T23:38:38.214Z,adventure,0.719,0.737,0.444,0.574,0.031,0.386,49,1,0,1
user_122,dest_60,save_trip,2026-02-27T01:47:40.012Z,mixed,0.516,0.240,0.725,0.926,0.106,0.317,26,1,0,1
user_6,dest_26,view,2026-03-10T05:02:41.157Z,mixed,0.131,0.523,0.590,0.730,0.029,0.368,39,0,1,1
user_56,dest_57,save_trip,2026-03-24T07:03:53.821Z,mixed,0.833,0.330,0.633,0.352,0.766,0.793,26,1,0,1
user_43,dest_51,view,2026-03-25T04:04:20.662Z,mixed,0.666,0.689,0.278,0.682,0.310,0.679,45,0,1,1
user_197,dest_40,view,2026-03-12T13:05:38.036Z,mixed,0.358,0.437,0.218,0.954,0.831,0.588,12,0,0,0
user_71,dest_56,view,2026-03-27T10:30:24.865Z,mixed,0.175,0.556,0.227,0.621,0.094,0.581,41,0,1,1
user_147,dest_64,view,2026-03-03T12:21:32.493Z,relaxation,0.331,0.751,0.245,0.645,0.934,0.850,49,0,0,0
user_53,dest_85,view,2026-03-08T20:15:15.639Z,mixed,0.524,0.534,0.794,0.988,0.945,0.817,48,0,1,1
user_50,dest_92,view,2026-03-21T01:20:32.012Z,adventure,0.747,0.652,0.719,0.722,0.908,0.816,17,0,1,1
user_112,dest_84,view,2026-03-21T11:15:26.289Z,cultural,0.802,0.703,0.303,0.305,0.222,0.531,18,0,0,0
user_108,dest_77,view,2026-03-11T06:34:55.616Z,adventure,0.882,0.307,0.864,0.623,0.343,0.548,39,0,1,1
user_129,dest_89,book,2026-03-18T11:07:27.364Z,cultural,0.940,0.457,0.878,0.604,0.370,0.628,45,1,0,1
user_156,dest_50,view,2026-03-04T02:17:50.280Z,relaxation,0.981,0.659,0.811,0.573,0.496,0.610,5,0,0,0
user_35,dest_78,save_trip,2026-03-21T16:21:39.895Z,relaxation,0.018,0.535,0.837,0.330,0.560,0.492,39,1,0,1
user_161,dest_78,trip_click,2026-03-18T05:30:50.280Z,relaxation,0.018,0.914,0.753,0.281,0.229,0.653,32,1,0,1
user_22,dest_99,view,2026-02-28T09:55:45.520Z,adventure,0.292,0.508,0.904,0.267,0.391,0.604,37,0,0,0
user_2,dest_45,save_trip,2026-03-22T01:13:10.365Z,relaxation,0.330,0.468,0.300,0.327,0.270,0.352,49,1,0,1
user_187,dest_51,view,2026-03-16T07:55:07.205Z,mixed,0.666,0.714,0.901,0.534,0.564,0.373,37,0,0,0
user_178,dest_49,view,2026-03-26T04:09:37.034Z,adventure,0.998,0.321,0.555,0.866,0.264,0.412,27,0,0,0
user_164,dest_35,view,2026-03-21T19:56:00.397Z,adventure,0.173,0.645,0.616,0.831,0.896,0.793,1,0,1,1
user_57,dest_26,save_trip,2026-03-10T00:32:46.558Z,mixed,0.131,0.617,0.371,0.380,0.625,0.373,29,1,0,1
user_110,dest_2,book,2026-03-06T21:58:11.449Z,relaxation,0.592,0.670,0.719,0.749,0.891,0.555,23,1,0,1
user_148,dest_63,view,2026-03-10T22:51:13.168Z,mixed,0.638,0.866,0.607,0.662,0.915,0.682,35,0,1,1
user_47,dest_77,view,2026-03-24T01:22:22.397Z,adventure,0.882,0.229,0.464,0.606,0.980,0.683,9,0,1,1
user_168,dest_99,view,2026-03-15T03:01:17.809Z,adventure,0.292,0.733,0.559,0.580,0.591,0.604,37,0,0,0
user_45,dest_64,view,2026-03-17T01:11:39.815Z,relaxation,0.331,0.854,0.618,0.567,0.258,0.643,44,0,1,1
user_119,dest_84,view,2026-03-02T10:13:04.814Z,cultural,0.802,0.648,0.758,0.698,0.237,0.503,13,0,1,1
user_47,dest_49,view,2026-03-22T08:42:00.887Z,adventure,0.998,0.229,0.464,0.606,0.980,0.683,9,0,1,1
user_70,dest_76,save_trip,2026-03-10T23:02:31.272Z,cultural,0.913,0.816,0.278,0.218,0.958,0.499,50,1,0,1
user_108,dest_5,view,2026-03-22T03:12:29.118Z,relaxation,0.421,0.307,0.864,0.623,0.343,0.548,39,0,0,0
user_116,dest_94,view,2026-03-23T22:22:18.437Z,mixed,0.118,0.566,0.355,0.721,0.756,0.620,26,0,0,0
user_154,dest_2,view,2026-02-27T17:17:07.780Z,relaxation,0.592,0.578,0.860,0.251,0.836,0.681,28,0,0,0
user_178,dest_100,view,2026-03-07T06:02:46.197Z,mixed,0.684,0.321,0.555,0.866,0.264,0.412,27,0,1,1
user_86,dest_69,trip_click,2026-03-13T08:55:01.945Z,relaxation,0.190,0.695,0.947,0.746,0.174,0.853,1,1,0,1
user_102,dest_47,view,2026-03-23T10:56:23.840Z,cultural,0.680,0.881,0.579,0.513,0.432,0.730,2,0,1,1
user_72,dest_44,trip_click,2026-03-19T15:48:30.327Z,relaxation,0.477,0.972,0.346,0.328,0.108,0.322,31,1,1,1
user_87,dest_58,view,2026-03-17T08:48:51.813Z,cultural,0.708,0.703,0.483,0.736,0.829,0.800,15,0,1,1
user_97,dest_42,save_trip,2026-03-04T07:59:04.693Z,mixed,0.256,0.613,0.674,0.710,0.767,0.673,45,1,0,1
user_164,dest_67,view,2026-03-11T00:48:51.437Z,cultural,0.409,0.645,0.616,0.831,0.896,0.793,1,0,1,1
user_104,dest_17,view,2026-03-23T12:36:21.423Z,adventure,0.178,0.366,0.676,0.670,0.727,0.517,35,0,1,1
user_192,dest_66,save_trip,2026-03-26T15:57:18.501Z,adventure,0.876,0.301,0.622,0.637,0.598,0.357,45,1,0,1
user_96,dest_45,book,2026-03-27T00:12:38.059Z,relaxation,0.330,0.470,0.563,0.783,0.273,0.599,33,1,1,1
user_146,dest_5,view,2026-03-26T01:45:45.491Z,relaxation,0.421,0.988,0.761,0.765,0.096,0.325,50,0,0,0
user_196,dest_62,save_trip,2026-03-20T12:17:59.401Z,cultural,0.926,0.493,0.762,0.651,0.473,0.512,48,1,0,1
user_172,dest_77,view,2026-03-07T19:26:16.446Z,adventure,0.882,0.574,0.212,0.881,0.768,0.796,20,0,0,0
user_96,dest_80,save_trip,2026-03-22T22:50:26.414Z,cultural,0.921,0.470,0.563,0.783,0.273,0.599,33,1,0,1
user_12,dest_71,trip_click,2026-03-23T22:55:27.320Z,relaxation,0.681,0.711,0.994,0.745,0.671,0.614,36,1,1,1
user_46,dest_85,trip_click,2026-03-15T19:42:19.885Z,mixed,0.524,0.355,0.719,0.687,0.630,0.557,45,1,0,1
user_84,dest_15,book,2026-03-14T18:52:10.321Z,adventure,0.719,0.628,0.388,0.211,0.548,0.314,29,1,0,1
user_164,dest_34,save,2026-03-13T09:51:31.943Z,adventure,0.202,0.645,0.616,0.831,0.896,0.793,1,1,1,1
user_109,dest_68,view,2026-03-02T00:49:10.650Z,cultural,0.845,0.341,0.580,0.240,0.353,0.304,3,0,0,0
user_26,dest_96,book,2026-03-26T23:20:15.495Z,mixed,0.579,0.317,0.668,0.317,0.104,0.355,24,1,0,1
user_94,dest_28,view,2026-03-14T11:13:41.534Z,mixed,0.262,0.975,0.427,0.466,0.351,0.864,9,0,1,1
user_22,dest_21,view,2026-03-17T22:08:14.648Z,relaxation,0.612,0.508,0.904,0.267,0.391,0.604,37,0,0,0
user_55,dest_60,save_trip,2026-03-19T16:24:26.319Z,mixed,0.516,0.346,0.349,0.616,0.712,0.529,32,1,0,1
user_182,dest_91,trip_click,2026-03-15T10:16:24.688Z,cultural,0.181,0.582,0.334,0.246,0.421,0.339,19,1,0,1
user_146,dest_5,trip_click,2026-02-26T12:49:42.415Z,relaxation,0.421,0.988,0.761,0.765,0.096,0.325,50,1,0,1
user_170,dest_45,book,2026-02-28T09:40:02.130Z,relaxation,0.330,0.674,0.771,0.547,0.820,0.486,23,1,0,1
user_120,dest_22,book,2026-03-18T06:52:44.912Z,relaxation,0.929,0.766,0.716,0.962,0.085,0.686,12,1,0,1
user_52,dest_93,view,2026-03-05T12:36:24.380Z,relaxation,0.842,0.340,0.676,0.518,0.798,0.571,48,0,1,1
user_28,dest_30,view,2026-03-06T17:04:44.989Z,mixed,0.922,0.383,0.742,0.548,0.131,0.797,8,0,0,0
user_93,dest_69,view,2026-02-27T07:19:47.878Z,relaxation,0.190,0.307,0.641,0.447,0.564,0.785,44,0,0,0
user_135,dest_24,view,2026-03-05T11:31:02.646Z,mixed,0.758,0.543,0.894,0.287,0.349,0.310,42,0,0,0
user_178,dest_25,save,2026-03-18T16:26:42.160Z,mixed,0.412,0.321,0.555,0.866,0.264,0.412,27,1,0,1
user_47,dest_88,book,2026-03-10T11:58:04.660Z,adventure,0.293,0.229,0.464,0.606,0.980,0.683,9,1,1,1
user_115,dest_92,save_trip,2026-03-06T10:21:11.686Z,adventure,0.747,0.767,0.657,0.205,0.808,0.648,42,1,0,1
user_33,dest_23,view,2026-02-28T09:17:56.799Z,adventure,0.924,0.521,0.482,0.886,0.547,0.626,19,0,1,1
user_75,dest_2,view,2026-03-13T14:54:08.670Z,relaxation,0.592,0.438,0.503,0.768,0.512,0.644,44,0,0,0
user_15,dest_42,save_trip,2026-03-15T03:22:06.441Z,mixed,0.256,0.826,0.681,0.533,0.054,0.536,46,1,0,1
user_49,dest_6,save_trip,2026-03-24T21:54:23.951Z,mixed,0.053,0.355,0.754,0.370,0.507,0.395,20,1,0,1
user_92,dest_87,view,2026-03-21T12:54:44.502Z,adventure,0.809,0.770,0.769,0.682,0.392,0.748,13,0,0,0
user_163,dest_15,view,2026-03-09T10:50:36.372Z,adventure,0.719,0.221,0.785,0.466,0.025,0.669,29,0,0,0
user_153,dest_70,save,2026-03-02T00:42:58.468Z,adventure,0.314,0.623,0.995,0.245,0.673,0.815,43,1,1,1
user_96,dest_43,save_trip,2026-03-18T19:53:21.590Z,adventure,0.661,0.470,0.563,0.783,0.273,0.599,33,1,1,1
user_152,dest_97,view,2026-03-20T00:53:46.182Z,cultural,0.668,0.858,0.436,0.654,0.999,0.417,29,0,1,1
user_191,dest_85,save_trip,2026-03-24T21:14:49.830Z,mixed,0.524,0.206,0.413,0.702,0.693,0.744,28,1,0,1
user_87,dest_67,book,2026-03-03T19:54:46.992Z,cultural,0.409,0.703,0.483,0.736,0.829,0.800,15,1,1,1
user_34,dest_85,view,2026-03-23T01:33:29.468Z,mixed,0.524,0.577,0.296,0.763,0.439,0.858,21,0,1,1
user_143,dest_71,save_trip,2026-03-27T12:17:39.988Z,relaxation,0.681,0.352,0.639,0.445,0.972,0.853,50,1,0,1
user_88,dest_49,view,2026-02-26T08:22:32.569Z,adventure,0.998,0.793,0.595,0.491,0.770,0.888,11,0,0,0
user_157,dest_78,save_trip,2026-03-02T15:55:42.084Z,relaxation,0.018,0.651,0.535,0.899,0.270,0.468,6,1,1,1
user_6,dest_68,trip_click,2026-03-16T19:07:01.886Z,cultural,0.845,0.523,0.590,0.730,0.029,0.368,39,1,1,1
user_120,dest_54,view,2026-03-07T07:15:08.548Z,mixed,0.492,0.766,0.716,0.962,0.085,0.686,12,0,0,0
user_15,dest_89,trip_click,2026-02-28T18:57:17.056Z,cultural,0.940,0.826,0.681,0.533,0.054,0.536,46,1,1,1
user_179,dest_96,view,2026-02-27T01:21:25.274Z,mixed,0.579,0.740,0.612,0.452,0.359,0.496,32,0,1,1
user_114,dest_50,save_trip,2026-03-01T02:09:43.098Z,relaxation,0.981,0.615,0.629,0.217,0.529,0.589,8,1,1,1
user_19,dest_54,view,2026-03-23T00:24:32.672Z,mixed,0.492,0.822,0.607,0.631,0.337,0.548,13,0,1,1
user_8,dest_42,trip_click,2026-02-28T08:26:16.910Z,mixed,0.256,0.680,0.719,0.347,0.197,0.349,43,1,0,1
user_54,dest_3,view,2026-03-18T18:27:13.690Z,adventure,0.661,0.433,0.395,0.557,0.552,0.390,50,0,0,0
user_104,dest_60,view,2026-02-25T18:54:31.081Z,mixed,0.516,0.366,0.676,0.670,0.727,0.517,35,0,1,1
user_128,dest_22,save_trip,2026-03-14T23:53:39.195Z,relaxation,0.929,0.550,0.901,0.711,0.166,0.735,4,1,0,1
user_190,dest_73,save_trip,2026-03-03T03:12:26.281Z,relaxation,0.296,0.698,0.271,0.865,0.558,0.823,44,1,1,1
user_7,dest_44,save,2026-02-27T22:16:41.956Z,relaxation,0.477,0.273,0.388,0.914,0.791,0.725,2,1,0,1
user_43,dest_87,save_trip,2026-02-27T18:07:56.250Z,adventure,0.809,0.689,0.278,0.682,0.310,0.679,45,1,1,1
user_119,dest_79,view,2026-03-05T23:03:31.143Z,mixed,0.516,0.648,0.758,0.698,0.237,0.503,13,0,1,1
user_127,dest_6,book,2026-03-24T03:17:11.201Z,mixed,0.053,0.993,0.208,0.700,0.459,0.483,45,1,1,1
user_138,dest_73,save,2026-03-04T04:15:54.733Z,relaxation,0.296,0.716,0.362,0.895,0.378,0.722,34,1,1,1
user_47,dest_47,book,2026-03-24T08:00:00.155Z,cultural,0.680,0.229,0.464,0.606,0.980,0.683,9,1,1,1
user_173,dest_99,view,2026-03-16T03:31:41.161Z,adventure,0.292,0.878,0.333,0.473,0.343,0.305,4,0,0,0
user_134,dest_25,trip_click,2026-03-03T15:15:43.416Z,mixed,0.412,0.791,0.661,0.538,0.307,0.459,27,1,0,1
user_103,dest_24,trip_click,2026-03-19T12:43:29.735Z,mixed,0.758,0.658,0.833,0.212,0.791,0.761,44,1,0,1
user_78,dest_20,save,2026-03-16T08:51:29.111Z,adventure,0.109,0.542,0.715,0.295,0.062,0.542,15,1,0,1
user_184,dest_52,save,2026-03-04T02:54:00.885Z,mixed,0.436,0.979,0.399,0.466,0.501,0.523,31,1,1,1
user_82,dest_58,save_trip,2026-03-21T16:26:26.863Z,cultural,0.708,0.382,0.741,0.593,0.278,0.637,43,1,1,1
user_10,dest_50,book,2026-03-15T21:41:59.349Z,relaxation,0.981,0.235,0.847,0.365,0.202,0.862,2,1,1,1
user_13,dest_10,view,2026-03-16T05:56:40.822Z,cultural,0.292,0.940,0.364,0.628,0.488,0.803,34,0,1,1
user_26,dest_92,book,2026-03-10T05:30:42.443Z,adventure,0.747,0.317,0.668,0.317,0.104,0.355,24,1,0,1
user_44,dest_26,save,2026-03-12T00:51:59.154Z,mixed,0.131,0.574,0.330,0.903,0.354,0.649,10,1,1,1
user_14,dest_43,view,2026-03-01T06:19:36.069Z,adventure,0.661,0.334,0.982,0.253,0.142,0.725,16,0,0,0
user_18,dest_9,book,2026-02-27T23:39:45.721Z,relaxation,0.409,0.245,0.739,0.464,0.851,0.492,44,1,1,1
user_151,dest_16,view,2026-03-15T21:50:07.141Z,relaxation,0.677,0.650,0.503,0.703,0.265,0.375,7,0,1,1
user_95,dest_58,view,2026-03-08T06:19:40.288Z,cultural,0.708,0.515,0.247,0.614,0.955,0.494,18,0,0,0
user_177,dest_97,save,2026-02-28T19:54:02.116Z,cultural,0.668,0.450,0.729,0.565,0.601,0.554,15,1,0,1
user_143,dest_60,trip_click,2026-03-04T08:09:45.078Z,mixed,0.516,0.352,0.639,0.445,0.972,0.853,50,1,0,1
user_109,dest_32,trip_click,2026-03-07T19:41:01.382Z,cultural,0.037,0.341,0.580,0.240,0.353,0.304,3,1,0,1
user_195,dest_21,view,2026-03-02T18:04:41.354Z,relaxation,0.612,0.790,0.690,0.260,0.563,0.562,8,0,0,0
user_171,dest_77,trip_click,2026-03-22T11:06:47.142Z,adventure,0.882,0.749,0.303,0.530,0.117,0.301,38,1,1,1
user_62,dest_57,view,2026-02-28T02:01:05.628Z,mixed,0.833,0.756,0.735,0.341,0.845,0.701,10,0,0,0
user_18,dest_60,view,2026-03-19T03:20:05.081Z,mixed,0.516,0.245,0.739,0.464,0.851,0.492,44,0,0,0
user_6,dest_49,book,2026-03-23T17:11:02.467Z,adventure,0.998,0.523,0.590,0.730,0.029,0.368,39,1,1,1
user_134,dest_54,save_trip,2026-03-12T23:14:01.212Z,mixed,0.492,0.791,0.661,0.538,0.307,0.459,27,1,0,1
user_10,dest_20,trip_click,2026-02-26T14:05:00.405Z,adventure,0.109,0.235,0.847,0.365,0.202,0.862,2,1,0,1
user_44,dest_37,trip_click,2026-02-27T20:43:46.843Z,mixed,0.102,0.574,0.330,0.903,0.354,0.649,10,1,1,1
user_173,dest_88,book,2026-02-26T06:10:08.314Z,adventure,0.293,0.878,0.333,0.473,0.343,0.305,4,1,0,1
user_42,dest_43,save_trip,2026-03-20T23:02:12.418Z,adventure,0.661,0.588,0.357,0.203,0.668,0.535,22,1,1,1
user_151,dest_60,view,2026-03-10T09:22:15.424Z,mixed,0.516,0.650,0.503,0.703,0.265,0.375,7,0,0,0
user_117,dest_52,view,2026-03-26T00:19:10.225Z,mixed,0.436,0.405,0.431,0.725,0.886,0.505,1,0,1,1
user_150,dest_87,view,2026-02-27T17:57:23.353Z,adventure,0.809,0.556,0.980,0.374,0.838,0.411,25,0,1,1
user_196,dest_58,save,2026-02-27T02:51:24.899Z,cultural,0.708,0.493,0.762,0.651,0.473,0.512,48,1,0,1
user_178,dest_88,view,2026-03-25T13:29:25.794Z,adventure,0.293,0.321,0.555,0.866,0.264,0.412,27,0,1,1
user_28,dest_5,save,2026-02-27T12:58:34.152Z,relaxation,0.421,0.383,0.742,0.548,0.131,0.797,8,1,0,1
user_196,dest_13,view,2026-03-21T17:10:56.671Z,adventure,0.122,0.493,0.762,0.651,0.473,0.512,48,0,0,0
user_98,dest_53,view,2026-03-06T11:56:41.406Z,mixed,0.196,0.204,0.552,0.345,0.132,0.304,13,0,0,0
user_146,dest_82,view,2026-03-03T00:25:16.333Z,adventure,0.513,0.988,0.761,0.765,0.096,0.325,50,0,0,0
