user_id,item_id,event_type,created_at,destination_category,event_weight,recency_weight,days_ago,interest_sightseeing,interest_culture,interest_history,interest_nature,interest_beach,interest_adventure,interest_relaxation,interest_strength,booking_rate,save_rate,exploration_rate,conversion_rate,travel_pace_preference,category_loyalty_score,user_unique_dests,user_active_days,feedback_positivity_rate,fb_rate_sightseeing,fb_rate_culture,fb_rate_history,fb_rate_nature,fb_rate_beach,fb_rate_adventure,fb_rate_relaxation,dest_feedback_rate,dest_pos_feedback_count,dest_total_feedback,cat_usage_share_sightseeing,cat_usage_share_culture,cat_usage_share_history,cat_usage_share_nature,cat_usage_share_beach,cat_usage_share_adventure,cat_usage_share_relaxation,cat_recency_sightseeing,cat_recency_culture,cat_recency_history,cat_recency_nature,cat_recency_beach,cat_recency_adventure,cat_recency_relaxation,aggregate_feedback_rating,booked_users_norm,weighted_engagement_norm,Sightseeing_dest_score,Culture_dest_score,History_dest_score,Nature_dest_score,Beach_dest_score,Adventure_dest_score,Relaxation_dest_score,click_frequency,user_item_affinity,category_diversity,trust_score,user_total_feedback_count,label
user_197,dest_52,view,2026-02-27 16:44:52.823000+00:00,Beach,0.5,0.2489,27.81523712,0.8478,0.2952,0.1387,0.8847,0.1479,0.546,0.2346,0.8071,0.125,0.25,0.375,0.25,1,0.3515,0.6573,0.7921,0.375,0.2,0,0,0.75,0.5,0.5,0.4157,0.4,0.6738,0.5725,0.3125,0.0625,0.125,0.25,0.125,0.125,0,0.5161,0.1967,0.1132,0.5563,0.8779,0.3322,1,0.2169,0.3,0.6623,0.45,0.6,0.52,0,0.69,0,0,0,0.3839,0.831,0.588,0.578,1
user_9,dest_32,save_trip,2026-02-26 02:14:19.180000+00:00,Adventure,3,0.2297,29.41979317,0.7907,0.254,0.0894,0.7512,0.7339,0.7784,0.4736,0.5364,0.125,0.3125,0.5,0.3125,1,0.519,0.6124,1,0.8125,1,1,0.5,1,0.5,0.8333,0.4157,0.4286,0.6738,0.4854,0.25,0.0625,0.125,0.0625,0.125,0.375,0,0.5182,0.8857,0.0135,0.518,0.0442,0.1363,1,0.5422,0.4,0.6026,0.58,0,0,0.72,0.78,0.84,0,0,0.906,0.697,0.783,0.9326,1
user_51,dest_79,save,2026-03-09 13:31:57.611000+00:00,History,2,0.4076,17.94920948,0.7837,0.5429,0.5445,0.5608,0.0764,0.312,0.1919,0.7043,0,0.2941,0.5294,0.1765,0,0.6142,0.6573,0.933,0.5882,0.4157,0.5714,0.75,0.3333,0,1,1,0.4048,0.8599,1,0,0.4118,0.2353,0.1765,0.0588,0.0588,0.0588,1,0.3681,0.3089,0.0341,1,0.5326,0.9354,0.1928,0.6,0.9868,0.55,0,0.62,0.4,0,0,0,0,0.5014,0.463,0.472,0.9473,1
user_27,dest_4,save,2026-03-23 08:43:54.087000+00:00,Nature,2,0.8126,4.149250266,0.7946,0.3634,0.4515,0.748,0.1995,0.6906,0.2055,0.611,0,0.1765,0.6471,0.0588,0,0.3006,0.6573,0.7178,0,0,0,0,0,0,0,0.4157,0.4146,0.8599,0.9693,0.0588,0.2941,0.1176,0.2353,0.1176,0.1765,0,0.3926,0.1718,0.2022,0.1431,0.4239,0.1166,1,0.7229,0.9,1,0.72,0,0,0.92,0,0.85,0,0,0.8011,0.258,0.609,0.9172,1
user_79,dest_49,view,2026-03-04 18:12:38.085000+00:00,History,0.5,0.3206,22.75429659,0.7776,0.4273,0.3744,0.5102,0.2777,0.1398,0.4946,0.7267,0.2667,0.2,0.4,0.4,1,0.4081,0.4586,0.6407,0,0,0,0,0,0,0.4157,0,0.475,0.9201,0.9378,0.1333,0.2,0.3333,0.0667,0.2,0,0.0667,0.0216,0.2559,0.0535,0.6327,0.0765,1,0.7845,0.2048,0.4,0.7417,0.45,0,0.7,0.65,0,0.52,0,0.6309,0.5112,0.156,0.33,0.9326,0
user_98,dest_92,save_trip,2026-03-05 20:32:28.920000+00:00,Nature,3,0.3386,21.65718044,0.7221,0.6492,0.5616,0.3833,0.2652,0.1348,0.2517,0.6248,0.125,0.5,0.25,0.4167,1,0.2939,0.9127,0.7178,0.3333,0.2,0.6,0.4286,0,0.25,0.4157,0.4157,0.4242,0.7556,0.6932,0.2083,0.2083,0.2917,0.125,0.1667,0,0,0.4119,0.1625,0.2299,0.7247,0.4757,1,1,0.5663,0.4,0.7682,0.68,0,0,0.75,0,0.58,0,0,0.4419,0.132,0.304,0.6008,1
user_159,dest_30,save_trip,2026-02-28 08:38:27.964000+00:00,Adventure,3,0.2573,27.15302484,0.5963,0.2373,0.1658,0.3347,0.6339,0.8378,0.541,0.397,0,0.4,0.3333,0.1333,0,0.4081,0.5135,0.7921,0.4,0.4157,0.5,0.5,0,0,0.6,0.4157,0.6667,0.7556,0.1245,0,0.2667,0.1333,0.0667,0.2,0.3333,0,1,0.0943,0.2066,0.8483,0.1047,0.2882,1,0.5422,0.2,0.5166,0.48,0,0,0.7,0,0.83,0,0,0.5905,0.091,0.511,0.6951,1
user_36,dest_14,view,2026-03-19 23:14:46.252000+00:00,Sightseeing,0.5,0.6858,7.544479838,0.6834,0.113,0.0147,0.7408,0.411,0.9809,0.6717,0.6078,0.1538,0.1538,0.6154,0.2308,0,0.5441,0.5135,0.5606,0,0,0,0,0,0,0,0.4157,0.5,0.7925,0.5725,0.1538,0.0769,0.0769,0.3846,0.1538,0.1538,0,0.2602,0.1611,0.4544,0.0604,0.3178,0.6554,1,0.5301,0.3,0.5298,0.83,0,0,0.68,0,0.45,0,0,0.696,0.043,0.511,0.3392,0
user_153,dest_22,view,2026-03-04 23:38:27.895000+00:00,Beach,0.5,0.3242,22.52802564,0.7392,0.5883,0.5265,0.4119,0.1152,0.2509,0.1632,0.6924,0.2,0.2,0.4,0.3333,1,0.2235,0.6124,0.8638,0.8,1,1,0.75,1,1,0,0,0.4324,0.8272,0.8385,0.0667,0.2,0.2667,0.2,0.1333,0.0667,0.0667,0.8787,0.1421,0.05,0.1452,0.5323,0.2483,0.9833,0.5663,0.6,0.8543,0.42,0,0,0,0.86,0.58,0.82,0,0.3623,0.673,0.815,0.9544,1
user_39,dest_18,view,2026-03-13 16:11:02.704000+00:00,Sightseeing,0.5,0.5006,13.83873387,0.692,0.358,0.4199,0.4143,0.2186,0.2956,0.199,0.6844,0.0952,0.2381,0.619,0.1429,0,0.1412,0.7777,0.933,0.619,0.6667,0.5,0.6,0.6667,0.5,1,0.4157,0.1154,0,0.3921,0.1429,0.1905,0.2381,0.1429,0.1905,0.0952,0,0.385,0.4099,0.0392,0.7514,0.2687,0.3355,1,0.6145,0.4,0.5298,0.82,0.45,0,0.7,0,0,0,0,0.5121,0.641,0.839,0.7799,1
user_166,dest_87,view,2026-03-04 06:05:45.631000+00:00,Culture,0.5,0.3126,23.25907036,0.5844,0.297,0.2719,0.5039,0.7821,0.6425,0.656,0.2409,0.2105,0.1579,0.5263,0.3158,1,0.2135,0.6996,0.7178,0.4737,1,0.4,0.3333,0,0.75,1,0.4157,0.425,0.8599,0.9378,0.1053,0.2632,0.1579,0.2105,0.2105,0.0526,0,0.4137,0.1403,0.8091,0.1763,0.1302,0.6749,1,0.0723,0.5,0.7682,0.57,0.63,0.4,0,0,0,0,0,0.332,0.139,0.403,0.428,0
user_128,dest_33,book,2026-03-16 14:07:45.395000+00:00,History,4,0.5791,10.92435087,0.524,0.5208,0.503,0.205,0.5035,0.2637,0.5186,0.3082,0.1765,0.3529,0.4118,0.3529,1,0.4607,0.5646,0.933,0,0.4157,0,0,0,0,0,0.4157,0.3333,0.4636,0.2915,0,0.1176,0.3529,0.1765,0.2353,0.1176,0,1,0.2565,0.2409,0.6616,0.0365,0.8872,1,0.3976,0.4,0.5563,0.62,0.68,0.77,0,0,0,0,0,0.5318,0.166,0.735,0.2829,1
user_97,dest_100,view,2026-03-10 13:40:33.403000+00:00,History,0.5,0.4286,16.94323966,0.7922,0.3853,0.2833,0.8571,0.1271,0.2831,0.4145,0.7036,0.1154,0.3077,0.5,0.3462,1,0.2306,0.943,0.933,0,0,0,0,0,0,0,0.4157,0.4643,0.7162,0.4854,0.2308,0.1538,0.2308,0.2692,0.0385,0.0769,0,0.4419,0.1671,0.0659,0.009,0.7993,0.2691,1,0.1205,0.3,0.5166,0.42,0,0.58,0.52,0,0,0,0,0.48,0.767,0.673,0.9681,0
user_40,dest_83,save_trip,2026-03-21 00:59:03.576000+00:00,Sightseeing,3,0.7235,6.472057106,0.634,0.5714,0.4304,0.4875,0.3995,0.5271,0.209,0.4092,0.2143,0.5,0.2857,0.2857,1,0.2771,0.4586,0.8638,0,0,0,0,0,0,0,0.4157,0.3438,0.6281,0.6542,0.0714,0.0714,0.2857,0.0714,0.2143,0.2857,0,0.2232,0.4856,0.0494,0.5553,0.0096,0.4021,1,0.3133,0.4,0.7881,0.66,0,0,0.6,0,0.42,0,0,0.4754,0.839,0.688,0.7404,1
user_116,dest_2,save_trip,2026-03-23 10:10:24.674000+00:00,Culture,3,0.8151,4.089174028,0.5793,0.7538,0.4427,0.3417,0.5454,0.2019,0.6503,0.306,0.1667,0.0556,0.6667,0.2222,0,0.4081,0.7397,0.7178,0,0,0,0,0,0,0.4157,0.4157,0.32,0.4636,0.3428,0.1667,0.3333,0.1111,0.2222,0.1667,0,0,0.0777,0.141,0.1235,0.0384,0.0338,1,1,0.7711,0.2,0.5298,0.75,0.95,0.88,0,0,0,0.4,0,0.7871,0.756,0.62,0.8036,1
user_48,dest_68,save,2026-03-24 17:19:41.981000+00:00,History,2,0.8697,2.791057049,0.9399,0.4164,0.4789,0.6609,0.0927,0.2972,0.4279,0.8904,0.0714,0.2143,0.5714,0.1429,0,0.2771,0.5646,0.8638,0.4286,0,0,0.5,0.3333,1,1,0.4157,0.5312,0.8599,0.6542,0.2143,0.0714,0.2857,0.2143,0.0714,0.1429,0,0.6021,0.2199,0.0962,0.183,0.59,0.0295,1,0.3373,0.5,0.7881,0.52,0.55,0.69,0,0,0,0,0,0.5244,0.387,0.499,0.9748,1
user_153,dest_38,trip_click,2026-02-26 23:58:16.906000+00:00,Relaxation,1,0.2403,28.51426394,0.7392,0.5883,0.5265,0.4119,0.1152,0.2509,0.1632,0.6924,0.2,0.2,0.4,0.3333,1,0.2235,0.6124,0.8638,0.8,1,1,0.75,1,1,0,0,0.3846,0.5783,0.3921,0.0667,0.2,0.2667,0.2,0.1333,0.0667,0.0667,0.8787,0.1421,0.05,0.1452,0.5323,0.2483,0.9833,0.3976,0.3,0.5563,0.7,0,0,0.58,0,0.35,0.75,0.6309,0.4902,0.673,0.815,0.9544,1
user_29,dest_46,view,2026-03-26 19:50:32.075000+00:00,History,0.5,0.9663,0.68631059,0.7418,0.348,0.2464,0.8041,0.1119,0.566,0.1036,0.6709,0.2857,0.2857,0.2143,0.2857,1,0.2771,0.5646,1,0.5714,0.4157,0.75,0.6667,0.5,0.5,0,0.4157,0.5,0.7925,0.5725,0,0.2857,0.2143,0.2857,0.1429,0.0714,0,1,0.2501,0.0237,0.0112,0.035,0.8197,1,0.3133,0.2,0.543,0,0.62,0.68,0.45,0,0,0,0,0.3899,0.83,0.728,0.6784,1
user_9,dest_45,book,2026-03-03 03:49:48.415000+00:00,Adventure,4,0.2959,24.35348258,0.7907,0.254,0.0894,0.7512,0.7339,0.7784,0.4736,0.5364,0.125,0.3125,0.5,0.3125,1,0.519,0.6124,1,0.8125,1,1,0.5,1,0.5,0.8333,0.4157,0.1905,0.4636,1,0.25,0.0625,0.125,0.0625,0.125,0.375,0,0.5182,0.8857,0.0135,0.518,0.0442,0.1363,1,0.6145,0.5,0.8344,0.48,0,0,0.6,0.72,0.8,0,0,0.8398,0.697,0.783,0.9326,1
user_137,dest_34,trip_click,2026-03-14 02:46:36.187000+00:00,Culture,1,0.5118,13.39737411,0.7337,0.7025,0.5665,0.467,0.5426,0.7196,0.4191,0.3323,0.0769,0.2308,0.5385,0.1538,0,0.3383,0.5135,0.8638,0,0,0,0,0,0,0,0.4157,0.3143,0.6281,0.7679,0.0769,0.3077,0.1538,0.0769,0.1538,0.2308,0,0.0371,0.1576,0.8384,0.6437,0.132,0.366,1,0.4337,0.4,0.8013,0.65,0.74,0.52,0.42,0,0,0,0.6309,0.6876,0.802,0.644,0.7541,1
user_19,dest_31,trip_click,2026-03-05 13:54:31.695000+00:00,Beach,1,0.334,21.93353721,0.7302,0.4036,0.5751,0.6192,0.3342,0.3379,0.3123,0.5514,0.0625,0.375,0.4375,0.3125,1,0.519,0.6124,0.933,0.4375,1,1,0.3333,0,0.5,0,0.4157,0.6111,1,0.8037,0.0625,0.125,0.375,0.125,0.25,0.0625,0,0.6104,0.155,0.1464,0.2336,0.0399,0.2199,1,0.3494,0.8,0.7417,0.45,0.65,0,0,0.76,0,0.6,0.6309,0.5178,0.337,0.548,0.6008,1
user_129,dest_6,save_trip,2026-03-02 10:29:28.719000+00:00,Adventure,3,0.2854,25.07593277,0.7838,0.3182,0.3266,0.3376,0.5523,0.5274,0.6017,0.6331,0.2083,0.2083,0.375,0.3333,1,0.2939,0.8483,0.7921,0.625,0.5,0.5,0.5,1,0.5714,1,1,0.4062,0.7162,0.6542,0.0833,0.25,0.1667,0.0833,0.2917,0.0833,0.0417,0.0049,0.2039,0.0815,0.1051,0.0252,0.6825,0.6705,0.6506,0.6,0.6623,0.75,0,0,0.82,0,0.87,0.4,0,0.7131,0.37,0.628,0.9681,1
user_52,dest_37,view,2026-03-16 06:42:32.763000+00:00,Culture,0.5,0.5703,11.23352485,0.6341,0.4296,0.3939,0.6315,0.0805,0.4503,0.3308,0.4896,0.1053,0.3684,0.4737,0.2632,1,0.2135,0.7397,0.6407,0.3684,0.4157,0.4,0.75,0.3333,0,0,0.5,0.3929,0.6281,0.4854,0,0.2632,0.2105,0.1579,0.1579,0.1053,0.1053,1,0.2274,0.01,0.0567,0.1658,0.7257,0.8287,0.5422,0.5,0.5364,0.7,0.83,0.78,0,0,0,0,0,0.5484,0.798,0.571,0.9876,1
user_178,dest_36,view,2026-03-21 19:23:16.139000+00:00,History,0.5,0.7518,5.705245035,0.7334,0.3966,0.4024,0.6815,0.3064,0.4356,0.376,0.5578,0.0833,0.2917,0.5,0.125,0,0.4081,0.8483,0.933,0.5833,0.75,0.25,0.5,0.6667,0.8,0.4157,0.4157,0.5,0.7162,0.3921,0.1667,0.1667,0.3333,0.125,0.2083,0,0,0.1372,0.0673,0.0049,0.188,0.0132,1,1,0.6627,0.3,0.5762,0.68,0.74,0.8,0.42,0,0,0,0,0.6576,0.264,0.412,0.8149,1
user_33,dest_60,view,2026-03-26 10:54:20.497000+00:00,History,0.5,0.9484,1.058666817,0.6898,0.4669,0.2008,0.4884,0.463,0.4395,0.7051,0.479,0.125,0.375,0.4375,0.25,1,0.1757,0.6573,1,0.6875,0.5,0.75,1,0.75,0.5,0.5,0.4157,0.5405,0.948,0.8385,0.125,0.25,0.125,0.25,0.125,0.125,0,0.4171,0.2306,0.0365,0.1912,0.0057,0.4604,1,0.2892,0.3,0.7748,0.58,0.42,0.64,0.45,0,0,0,0,0.4807,0.547,0.626,0.711,1
user_169,dest_80,view,2026-03-09 22:35:04.524000+00:00,Culture,0.5,0.4154,17.57204613,0.7521,0.3874,0.311,0.4787,0.4759,0.5354,0.4703,0.5815,0.1429,0.2857,0.3571,0.2857,1,0.2771,0.5646,1,0.3571,0,0.5,0.5,0.25,0.5,0,0.4157,0.4615,0.6738,0.3921,0.0714,0.1429,0.1429,0.2857,0.2857,0.0714,0,0.4045,0.5629,0,0.1971,0.2174,0.1941,1,0.1325,0.4,0.5828,0.45,0.63,0.58,0,0,0,0,0,0.3984,0.338,0.787,0.6608,1
user_82,dest_56,view,2026-02-28 16:04:40.686000+00:00,Culture,0.5,0.2613,26.84315537,0.6145,0.4739,0.3004,0.1682,0.7763,0.3127,0.7816,0.3784,0.0625,0.1875,0.5,0.25,0,0.1757,0.6124,0.8638,0.8125,1,1,0.5,1,0.6667,1,0.4157,0.4054,0.7925,0.8385,0.125,0.1875,0.25,0.1875,0.1875,0.0625,0,0.2493,0.208,0.0336,0.0542,0.201,0.9518,1,0.3855,0.5,0.6623,0.55,0.68,0.62,0,0,0,0.38,0,0.5626,0.278,0.637,0.9544,1
user_30,dest_83,trip_click,2026-03-20 00:12:20.608000+00:00,Sightseeing,1,0.6871,7.504498866,0.6536,0.4415,0.4014,0.6932,0.1594,0.5443,0.4003,0.4319,0,0.1429,0.5714,0.1429,0,0.2771,0.5646,0.7178,1,1,1,1,1,1,1,0.4157,0.3438,0.6281,0.6542,0.1429,0.2857,0.1429,0.2143,0.0714,0.1429,0,0.2588,0.0809,0.2247,0.175,0.0508,0.4351,1,0.3133,0.4,0.7881,0.66,0,0,0.6,0,0.42,0,0.6309,0.5357,0.071,0.881,0.8362,1
user_40,dest_52,book,2026-03-12 11:53:55.080000+00:00,Beach,4,0.472,15.01729433,0.634,0.5714,0.4304,0.4875,0.3995,0.5271,0.209,0.4092,0.2143,0.5,0.2857,0.2857,1,0.2771,0.4586,0.8638,0,0,0,0,0,0,0,0.4157,0.4,0.6738,0.5725,0.0714,0.0714,0.2857,0.0714,0.2143,0.2857,0,0.2232,0.4856,0.0494,0.5553,0.0096,0.4021,1,0.2169,0.3,0.6623,0.45,0.6,0.52,0,0.69,0,0,0,0.5563,0.839,0.688,0.7404,1
user_108,dest_66,save,2026-03-23 15:40:27.194000+00:00,Culture,2,0.8245,3.859978194,0.7864,0.7076,0.5711,0.3632,0.104,0.1938,0.3235,0.7017,0.1034,0.3793,0.3793,0.3448,1,0.2496,1,1,0.6207,0.8333,0.5,0.2,1,0.5,1,1,0.3684,0.7556,0.8724,0.2069,0.2759,0.1724,0.069,0.1379,0.1034,0.0345,0.0647,0.1331,0.0014,0.6608,0.0733,0.0848,0.299,0.3855,0.6,0.9073,0.6,0.74,0.68,0,0,0,0,0,0.6518,0.343,0.548,0.925,1
user_49,dest_22,save_trip,2026-03-08 07:19:18.663000+00:00,Beach,3,0.3827,19.2079936,0.8026,0.2712,0.187,0.6246,0.3219,0.7356,0.4098,0.6761,0.1538,0.3846,0.3846,0.4615,1,0.3383,0.4586,0.8638,0.4615,1,0.25,1,0.5,0.5,0,0.4157,0.4324,0.8272,0.8385,0.0769,0.3077,0.0769,0.1538,0.3077,0.0769,0,0.834,0.0467,0.2197,0.8436,0.3669,0.0897,1,0.5663,0.6,0.8543,0.42,0,0,0,0.86,0.58,0.82,0,0.6493,0.507,0.395,0.726,1
user_147,dest_94,view,2026-03-27 03:39:45.014000+00:00,History,0.5,0.9821,0.360466389,0.9357,1,1,0.0466,0.0397,0,0.2971,0.9776,0,0.2667,0.5333,0.1333,0,0.9116,0.4586,0.5606,0.7333,1,0.6,0.75,0.4157,1,0.4157,0.4157,0.4615,0.6738,0.3921,0.0667,0.3333,0.5333,0,0.0667,0,0,0.8013,0.1802,0.0124,1,0.829,1,1,0.0843,0.3,0.4834,0.48,0.58,0.63,0,0,0,0,0,0.7437,0.934,0.85,0.9939,0
user_150,dest_39,book,2026-02-26 10:18:56.438000+00:00,Sightseeing,4,0.2336,29.08325083,0.8467,0.3235,0.373,0.5784,0,0.4377,0.2124,0.8808,0.25,0.25,0.25,0.25,1,0.519,0.1862,0.6407,0.625,0.3333,0.5,1,1,0.4157,0.4157,0.4157,0.4667,0.7556,0.5725,0.375,0.25,0.125,0.25,0,0,0,0.1498,0.9114,0.3045,0.4773,1,1,1,0.4337,0.3,0.543,0.72,0,0,0.55,0,0.65,0,0,0.5891,0.838,0.411,0.792,1
user_6,dest_61,view,2026-03-13 14:55:36.496000+00:00,Nature,0.5,0.4993,13.89112053,0.7017,0.3473,0.6294,0.6589,0.0314,0.546,0.0565,0.5748,0.0588,0.2353,0.4118,0.1176,0,0.6142,0.6124,0.933,0.5294,0.5,0,0.7143,0.75,0,0,0.4157,0.4516,0.7556,0.614,0.1176,0.1176,0.4118,0.2353,0.0588,0.0588,0,0.5168,0.0161,0.0409,0.0333,0.142,0.2439,1,0.241,0.3,0.6159,0.48,0,0,0.7,0,0.62,0,0,0.5599,0.029,0.368,0.925,1
user_35,dest_24,book,2026-03-15 10:05:21.994000+00:00,Culture,4,0.5463,12.09267727,0.7045,0.5588,0.5815,0.2076,0.2664,0.2866,0.307,0.6155,0.2778,0.2778,0.4444,0.3889,1,0.4081,0.6573,0.2995,0,0,0,0,0,0,0,0.4157,0.3478,0.4636,0.2382,0.1111,0.3333,0.1111,0.2222,0.1667,0.0556,0,0.2011,0.1978,0.5374,0.4968,0.2042,0.6002,1,0.3976,0.4,0.5497,0.6,0.75,0.72,0,0,0,0,0,0.6072,0.56,0.492,0.925,1
